,Unnamed: 0,state,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income,latitude,longitude,name,FIPS_Code,State,Area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,City/Suburb/Town/Rural,Metro_2013,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,NAME,2006_Age0_Sex0,2007_Age0_Sex0,2008_Age0_Sex0,2009_Age0_Sex0,2010_Age0_Sex0,2011_Age0_Sex0,2012_Age0_Sex0,2013_Age0_Sex0,2014_Age0_Sex0,2015_Age0_Sex0
0,0,AK,15520.427586206895,8694.782040827586,12361.72074951724,15641.815574482758,8774.125398206897,15194.391719172414,9047.294051586206,85234.55735999999,81242.83135775862,63.588753,-154.493062,Alaska,2000,AK,Alaska,,,,,"319,777","299,590","20,187",6.3,"321,652","301,422","20,230",6.3,"327,054","303,560","23,494",7.2,"332,494","306,964","25,530",7.7,"337,469","312,394","25,075",7.4,"344,157","320,273","23,884",6.9,"348,756","325,672","23,084",6.6,"350,233","328,309","21,924",6.3,"355,298","332,364","22,934",6.5,"359,379","330,718","28,661",8.0,"361,707","332,185","29,522",8.2,"364,599","336,312","28,287",7.8,"364,153","337,834","26,319",7.2,"363,544","338,104","25,440",7.0,"364,281","339,704","24,577",6.7,"362,425","339,604","22,821",6.3,"362,017","338,193","23,824",6.6,"361,225","337,728","23,497",6.5,"356,199","335,033","21,166",5.9,"353,888","334,754","19,134",5.4,"347,414","320,219","27,195",7.8,"77,203",100.0,Alaska,120562,120729,128812,144785,138777,141836,146928,135757,123604,105982
1,1,AL,9181.39251761194,8480.711292716418,13141.56889002985,14236.294295462689,6399.67677116418,9552.574830089552,7975.351472955223,68967.5700197015,58099.87150186567,32.318231,-86.902298,Alabama,1000,AL,Alabama,,,,,"2,147,173","2,047,731","99,442",4.6,"2,128,027","2,017,467","110,560",5.2,"2,112,621","1,987,633","124,988",5.9,"2,128,668","2,001,568","127,100",6.0,"2,138,306","2,018,783","119,523",5.6,"2,140,356","2,045,234","95,122",4.4,"2,170,007","2,083,207","86,800",4.0,"2,180,448","2,092,030","88,418",4.1,"2,176,854","2,049,579","127,275",5.8,"2,156,593","1,938,784","217,809",10.1,"2,197,028","1,968,824","228,204",10.4,"2,202,337","1,991,379","210,958",9.6,"2,178,508","2,000,848","177,660",8.2,"2,172,102","2,012,828","159,274",7.3,"2,164,715","2,018,705","146,010",6.7,"2,152,295","2,020,443","131,852",6.1,"2,155,729","2,029,157","126,572",5.9,"2,172,455","2,073,396","99,059",4.6,"2,207,019","2,120,704","86,315",3.9,"2,237,278","2,169,395","67,883",3.0,"2,230,118","2,099,062","131,056",5.9,"51,771",100.0,Alabama,621448,579599,600542,623621,681437,669410,633845,637841,567439,475233
2,2,AR,8886.487749279999,7788.489356,13131.92738608,12038.5118632,6042.001844640001,7732.10427616,5872.36926576,61491.8918512,55025.5678125,35.20105,-91.831833,Arkansas,5000,AR,Arkansas,,,,,"1,260,507","1,207,833","52,674",4.2,"1,261,419","1,201,314","60,105",4.8,"1,276,964","1,209,006","67,958",5.3,"1,282,578","1,208,583","73,995",5.8,"1,302,378","1,229,546","72,832",5.6,"1,333,880","1,263,663","70,217",5.3,"1,346,532","1,276,000","70,532",5.2,"1,350,811","1,277,902","72,909",5.4,"1,357,716","1,284,175","73,541",5.4,"1,353,340","1,248,691","104,649",7.7,"1,353,635","1,247,059","106,576",7.9,"1,357,819","1,250,431","107,388",7.9,"1,349,888","1,251,883","98,005",7.3,"1,331,609","1,237,609","94,000",7.1,"1,327,959","1,249,766","78,193",5.9,"1,339,301","1,272,785","66,516",5.0,"1,343,891","1,290,430","53,461",4.0,"1,350,036","1,299,544","50,492",3.7,"1,352,670","1,303,286","49,384",3.7,"1,365,262","1,317,158","48,104",3.5,"1,354,296","1,272,344","81,952",6.1,"49,020",100.0,Arkansas,486956,479294,472500,471567,500134,490103,471902,458780,336619,269055
3,3,AZ,12793.9107336,8146.288516,13479.5814136,14532.4829112,7587.459998400001,11314.8930784,8131.3225224,75985.93937600001,59661.879166666666,34.048928,-111.093731,Arizona,4000,AZ,Arizona,,,,,"2,510,611","2,410,825","99,786",4.0,"2,593,664","2,470,816","122,848",4.7,"2,683,502","2,518,051","165,451",6.2,"2,728,649","2,571,097","157,552",5.8,"2,788,618","2,649,564","139,054",5.0,"2,862,517","2,729,018","133,499",4.7,"2,970,679","2,843,054","127,625",4.3,"3,018,805","2,905,144","113,661",3.8,"3,095,993","2,916,698","179,295",5.8,"3,128,891","2,826,426","302,465",9.7,"3,096,316","2,777,404","318,912",10.3,"3,051,937","2,763,761","288,176",9.4,"3,054,343","2,799,634","254,709",8.3,"3,064,554","2,825,341","239,213",7.8,"3,118,441","2,906,193","212,248",6.8,"3,184,445","2,990,545","193,900",6.1,"3,253,468","3,075,851","177,617",5.5,"3,329,618","3,164,810","164,808",4.9,"3,428,064","3,263,136","164,928",4.8,"3,538,723","3,366,660","172,063",4.9,"3,570,220","3,288,150","282,070",7.9,"62,027",100.0,Arizona,1185052,1165954,1138508,1118761,1042809,1064887,1111138,1092617,886514,710610
4,4,CA,20232.487360137933,9673.952906482758,14740.170922344829,14221.493600068963,10836.28274027586,10761.33463572414,12713.440852965516,93179.16306,82922.16924838362,36.778261,-119.417932,California,6000,CA,California,,,,,"16,837,536","16,011,619","825,917",4.9,"17,096,428","16,160,509","935,919",5.5,"17,246,528","16,081,472","1,165,056",6.8,"17,271,899","16,081,515","1,190,384",6.9,"17,374,506","16,293,555","1,080,951",6.2,"17,537,931","16,593,622","944,309",5.4,"17,661,179","16,797,845","863,334",4.9,"17,910,726","16,955,400","955,326",5.3,"18,179,907","16,856,082","1,323,825",7.3,"18,305,953","16,193,122","2,112,831",11.5,"18,370,536","16,078,454","2,292,082",12.5,"18,406,756","16,220,602","2,186,154",11.9,"18,484,881","16,541,039","1,943,842",10.5,"18,565,408","16,887,864","1,677,544",9.0,"18,676,692","17,264,518","1,412,174",7.6,"18,824,141","17,647,409","1,176,732",6.3,"19,012,017","17,965,407","1,046,610",5.5,"19,173,778","18,246,813","926,965",4.8,"19,263,895","18,442,405","821,490",4.3,"19,353,743","18,550,526","803,217",4.2,"18,821,167","16,913,078","1,908,089",10.1,"80,423",100.0,California,6829725,6465408,6166623,6491176,6720279,6603169,6580078,6368296,4655102,3234373
5,5,CO,14133.4356886875,9168.6877273125,14616.030772875,10427.4207976875,8443.278293625,11290.9788075,9515.950683375,77595.782964375,75158.80529785156,39.550051,-105.782067,Colorado,8000,CO,Colorado,,,,,"2,358,371","2,294,104","64,267",2.7,"2,396,012","2,304,547","91,465",3.8,"2,448,903","2,309,639","139,264",5.7,"2,490,397","2,338,432","151,965",6.1,"2,539,389","2,397,588","141,801",5.6,"2,572,382","2,442,134","130,248",5.1,"2,640,452","2,528,550","111,902",4.2,"2,687,742","2,588,340","99,402",3.7,"2,734,398","2,601,712","132,686",4.9,"2,730,604","2,515,483","215,121",7.9,"2,715,723","2,466,996","248,727",9.2,"2,730,262","2,493,472","236,790",8.7,"2,749,192","2,529,785","219,407",8.0,"2,766,140","2,579,568","186,572",6.7,"2,800,666","2,661,070","139,596",5.0,"2,825,761","2,719,997","105,764",3.7,"2,894,157","2,803,504","90,653",3.1,"2,982,495","2,904,014","78,481",2.6,"3,071,396","2,978,194","93,202",3.0,"3,126,120","3,043,108","83,012",2.7,"3,122,237","2,895,473","226,764",7.3,"77,104",100.0,Colorado,804462,787080,785439,756645,777411,753842,744887,722130,535569,428602
6,6,CT,16953.5644215,9703.825338,13606.714935,13085.251473,9659.0236095,13624.394466000002,13380.730326,90013.50461999999,103228.2333984375,41.603221,-73.087749,Connecticut,9000,CT,Connecticut,,,,,"1,760,697","1,723,597","37,100",2.1,"1,749,195","1,698,594","50,601",2.9,"1,776,064","1,697,788","78,276",4.4,"1,785,737","1,688,380","97,357",5.5,"1,777,510","1,687,121","90,389",5.1,"1,794,301","1,707,935","86,366",4.8,"1,831,083","1,750,385","80,698",4.4,"1,856,008","1,773,047","82,961",4.5,"1,878,120","1,772,393","105,727",5.6,"1,888,374","1,731,361","157,013",8.3,"1,911,289","1,728,121","183,168",9.6,"1,914,449","1,741,971","172,478",9.0,"1,887,545","1,729,687","157,858",8.4,"1,867,378","1,718,834","148,544",8.0,"1,889,102","1,764,118","124,984",6.6,"1,892,087","1,785,788","106,299",5.6,"1,893,200","1,801,390","91,810",4.8,"1,903,348","1,819,444","83,904",4.4,"1,905,382","1,830,995","74,387",3.9,"1,917,300","1,848,476","68,824",3.6,"1,872,631","1,724,621","148,010",7.9,"78,920",100.0,Connecticut,348724,325910,298164,299521,309864,299599,313293,322785,236861,201842
7,7,DC,21089.38596,11631.158784,7961.970432,14065.9011,11855.943468,31940.4924,21744.78522,120289.63692,116607.390625,38.905985,-77.033418,District of Columbia,11001,DC,District of Columbia,1.0,1.0,City,1.0,"309,977","292,299","17,678",5.7,"311,232","291,080","20,152",6.5,"308,760","287,196","21,564",7.0,"308,454","285,997","22,457",7.3,"313,735","288,323","25,412",8.1,"318,130","295,907","22,223",7.0,"320,581","300,323","20,258",6.3,"326,557","307,071","19,486",6.0,"334,487","311,588","22,899",6.8,"338,113","304,277","33,836",10.0,"346,707","312,132","34,575",10.0,"352,193","316,372","35,821",10.2,"365,176","332,412","32,764",9.0,"374,199","342,609","31,590",8.4,"379,678","350,415","29,263",7.7,"388,446","361,556","26,890",6.9,"395,124","370,553","24,571",6.2,"403,671","378,980","24,691",6.1,"408,248","385,083","23,165",5.7,"414,976","392,726","22,250",5.4,"409,734","376,839","32,895",8.0,"90,395",100.0,District of Columbia,69419,61680,42390,40951,45483,42737,36824,40687,32799,24198
8,7,DC,21089.38596,11631.158784,7961.970432,14065.9011,11855.943468,31940.4924,21744.78522,120289.63692,116607.390625,38.905985,-77.033418,District of Columbia,11000,DC,District of Columbia,,,,,"309,977","292,299","17,678",5.7,"311,232","291,080","20,152",6.5,"308,760","287,196","21,564",7.0,"308,454","285,997","22,457",7.3,"313,735","288,323","25,412",8.1,"318,130","295,907","22,223",7.0,"320,581","300,323","20,258",6.3,"326,557","307,071","19,486",6.0,"334,487","311,588","22,899",6.8,"338,113","304,277","33,836",10.0,"346,707","312,132","34,575",10.0,"352,193","316,372","35,821",10.2,"365,176","332,412","32,764",9.0,"374,199","342,609","31,590",8.4,"379,678","350,415","29,263",7.7,"388,446","361,556","26,890",6.9,"395,124","370,553","24,571",6.2,"403,671","378,980","24,691",6.1,"408,248","385,083","23,165",5.7,"414,976","392,726","22,250",5.4,"409,734","376,839","32,895",8.0,"90,395",100.0,District of Columbia,69419,61680,42390,40951,45483,42737,36824,40687,32799,24198
9,8,DE,14449.7906,8989.749036,13320.44572,14330.672688,8493.069652,11319.138832,10602.651432,81505.51756000001,81198.6640625,38.910832,-75.52767,Delaware,10000,DE,Delaware,,,,,"412,956","398,188","14,768",3.6,"421,563","406,517","15,046",3.6,"417,207","399,417","17,790",4.3,"415,890","397,310","18,580",4.5,"421,093","402,992","18,101",4.3,"433,375","413,828","19,547",4.5,"443,228","425,995","17,233",3.9,"445,306","429,203","16,103",3.6,"450,265","427,694","22,571",5.0,"438,383","401,718","36,665",8.4,"436,196","398,388","37,808",8.7,"443,971","410,229","33,742",7.6,"445,962","414,489","31,473",7.1,"443,551","414,215","29,336",6.6,"452,712","427,400","25,312",5.6,"462,752","440,555","22,197",4.8,"468,808","447,640","21,168",4.5,"475,671","454,514","21,157",4.4,"481,179","463,416","17,763",3.7,"488,039","470,219","17,820",3.7,"484,358","446,458","37,900",7.8,"70,348",100.0,Delaware,97688,92616,85208,88758,86894,84181,77920,82347,70640,52951
10,9,FL,13166.638745014923,8955.002390149253,12972.213807044776,13543.69227277612,8015.543004358209,8797.532817671641,6071.099941074627,71521.72298149254,64294.17659748135,27.664827,-81.515754,Florida,12000,FL,Florida,,,,,"7,917,857","7,620,683","297,174",3.8,"8,048,882","7,692,124","356,758",4.4,"8,050,051","7,651,923","398,128",4.9,"8,123,135","7,760,904","362,231",4.5,"8,347,316","8,033,591","313,725",3.8,"8,647,279","8,400,346","246,933",2.9,"8,927,098","8,707,158","219,940",2.5,"9,113,604","8,813,449","300,155",3.3,"9,156,458","8,636,212","520,246",5.7,"8,987,789","8,127,251","860,538",9.6,"9,147,107","8,155,401","991,706",10.8,"9,260,348","8,334,119","926,229",10.0,"9,335,727","8,529,063","806,664",8.6,"9,414,664","8,706,060","708,604",7.5,"9,546,407","8,931,440","614,967",6.4,"9,639,737","9,106,772","532,965",5.5,"9,841,301","9,360,237","481,064",4.9,"10,032,422","9,606,451","425,971",4.2,"10,166,231","9,798,469","367,762",3.6,"10,330,467","9,991,437","339,030",3.3,"10,114,329","9,332,838","781,491",7.7,"59,198",100.0,Florida,3730428,3615358,3581341,3735524,3853392,3804839,3724873,3778848,3176171,2602192
11,10,GA,9991.26649471698,8232.04348,13208.205735773585,12863.149408,6603.023894490566,7299.594340830188,6701.05331645283,64898.33659396227,59841.33613404088,32.157435,-82.907123,Georgia,13000,GA,Georgia,,,,,"4,202,695","4,055,366","147,329",3.5,"4,257,901","4,083,528","174,373",4.1,"4,341,617","4,111,627","229,990",5.3,"4,414,282","4,187,003","227,279",5.1,"4,464,780","4,236,301","228,479",5.1,"4,598,159","4,336,264","261,895",5.7,"4,713,863","4,474,820","239,043",5.1,"4,810,264","4,573,302","236,962",4.9,"4,863,225","4,534,790","328,435",6.8,"4,792,150","4,292,830","499,320",10.4,"4,709,781","4,207,266","502,515",10.7,"4,739,281","4,258,833","480,448",10.1,"4,770,618","4,339,369","431,249",9.0,"4,750,046","4,363,292","386,754",8.1,"4,745,859","4,407,067","338,792",7.1,"4,734,088","4,446,515","287,573",6.1,"4,921,814","4,653,740","268,074",5.4,"5,106,156","4,862,552","243,604",4.8,"5,118,256","4,912,487","205,769",4.0,"5,148,312","4,966,157","182,155",3.5,"5,072,155","4,741,191","330,964",6.5,"61,950",100.0,Georgia,1673525,1632316,1700333,1815729,1848505,1846990,1767578,1810621,1549301,1366843
12,11,HI,22335.139128,12852.9297264,13949.0729496,11638.530996,12750.0248232,13198.9178112,18172.647048,104897.262264,99596.9921875,19.898682,-155.665857,Hawaii,15000,HI,Hawaii,,,,,"605,395","579,736","25,659",4.2,"607,556","581,379","26,177",4.3,"601,786","577,616","24,170",4.0,"603,936","580,352","23,584",3.9,"611,752","591,594","20,158",3.3,"625,530","607,853","17,677",2.8,"635,415","619,362","16,053",2.5,"636,710","619,224","17,486",2.7,"641,526","615,767","25,759",4.0,"631,970","589,798","42,172",6.7,"648,549","604,210","44,339",6.8,"660,634","615,470","45,164",6.8,"650,415","611,985","38,430",5.9,"650,978","620,005","30,973",4.8,"664,014","635,913","28,101",4.2,"670,594","647,616","22,978",3.4,"679,121","659,557","19,564",2.9,"679,783","664,729","15,054",2.2,"675,187","659,250","15,937",2.4,"669,189","652,766","16,423",2.5,"648,191","572,796","75,395",11.6,"83,734",100.0,Hawaii,105508,96622,85490,91365,102658,94510,90741,88089,69936,55299
13,12,IA,9710.733269454546,7872.1353270303025,13895.873568363637,12156.447592242424,6370.966712727272,8656.973161939393,7425.909571515152,66089.03930787879,74522.30500315657,41.878003,-93.097702,Iowa,19000,IA,Iowa,,,,,"1,594,400","1,551,434","42,966",2.7,"1,610,634","1,556,923","53,711",3.3,"1,629,047","1,564,178","64,869",4.0,"1,607,931","1,536,505","71,426",4.4,"1,607,438","1,534,634","72,804",4.5,"1,628,510","1,558,522","69,988",4.3,"1,655,924","1,595,344","60,580",3.7,"1,662,155","1,600,507","61,648",3.7,"1,682,209","1,612,459","69,750",4.1,"1,677,059","1,569,561","107,498",6.4,"1,674,411","1,571,960","102,451",6.1,"1,670,056","1,575,767","94,289",5.6,"1,660,180","1,576,236","83,944",5.1,"1,676,565","1,597,139","79,426",4.7,"1,698,718","1,626,676","72,042",4.2,"1,700,549","1,637,467","63,082",3.7,"1,703,164","1,642,152","61,012",3.6,"1,686,470","1,634,328","52,142",3.1,"1,701,663","1,657,461","44,202",2.6,"1,733,868","1,685,857","48,011",2.8,"1,666,420","1,578,765","87,655",5.3,"61,807",100.0,Iowa,272711,274879,248020,247530,270219,263528,249896,244164,185413,149178
14,13,ID,10711.257416454546,8729.474354727274,14391.546485727273,12514.745433272728,7044.143792181819,9655.050370363637,7459.801566,70506.01943999999,63504.19691051136,44.068202,-114.742041,Idaho,16000,ID,Idaho,,,,,"661,066","630,228","30,838",4.7,"678,281","643,913","34,368",5.1,"685,650","647,019","38,631",5.6,"691,702","653,299","38,403",5.6,"702,872","668,638","34,234",4.9,"730,354","701,400","28,954",4.0,"744,475","718,848","25,627",3.4,"755,287","732,155","23,132",3.1,"759,676","721,828","37,848",5.0,"763,633","696,832","66,801",8.7,"762,147","695,265","66,882",8.8,"764,205","701,660","62,545",8.2,"772,112","714,969","57,143",7.4,"777,606","724,545","53,061",6.8,"776,937","742,805","34,132",4.4,"795,014","764,121","30,893",3.9,"812,921","783,180","29,741",3.7,"833,996","807,676","26,320",3.2,"855,263","831,218","24,045",2.8,"879,448","855,129","24,319",2.8,"892,151","844,365","47,786",5.4,"60,830",100.0,Idaho,226111,225232,250615,257017,273440,255479,250246,256305,216276,177426
15,14,IL,10140.770715294117,7684.844930941177,13523.060966117648,15632.785638705882,6458.923552941176,10554.929404470588,9029.297872941175,73024.61305294117,73194.42578125,40.633125,-89.398528,Illinois,17000,IL,Illinois,,,,,"6,494,429","6,206,060","288,369",4.4,"6,454,092","6,103,092","351,000",5.4,"6,341,891","5,925,990","415,901",6.6,"6,310,520","5,885,134","425,386",6.7,"6,348,716","5,955,739","392,977",6.2,"6,410,767","6,044,685","366,082",5.7,"6,515,687","6,217,917","297,770",4.6,"6,639,198","6,301,409","337,789",5.1,"6,652,942","6,222,179","430,763",6.5,"6,601,620","5,928,539","673,081",10.2,"6,612,433","5,918,202","694,231",10.5,"6,567,531","5,925,787","641,744",9.8,"6,583,689","5,989,454","594,235",9.0,"6,556,593","5,961,201","595,392",9.1,"6,516,372","6,049,059","467,313",7.2,"6,511,797","6,119,934","391,863",6.0,"6,559,038","6,172,672","386,366",5.9,"6,485,462","6,164,387","321,075",5.0,"6,472,193","6,189,228","282,965",4.4,"6,445,989","6,188,686","257,303",4.0,"6,249,147","5,657,532","591,615",9.5,"69,212",100.0,Illinois,1787151,1670278,1542646,1658111,1717178,1627886,1593191,1588326,1211871,885019
